"Lumber production, shipments, and stocks by species, monthly (x 1,000) 1 2 3"
"Frequency: Monthly"
"Table: 16-10-0017-01"
"Release date: 2025-11-04"
"Geography: Canada, Province or territory"
""
""

"Geography","Canada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"North American Product Classification System (NAPCS)","April 2014","May 2014","June 2014","July 2014","August 2014","September 2014","October 2014","November 2014","December 2014","January 2015","February 2015","March 2015","April 2015","May 2015","June 2015","July 2015","August 2015","September 2015","October 2015","November 2015","December 2015","January 2016","February 2016","March 2016","April 2016","May 2016","June 2016","July 2016","August 2016","September 2016","October 2016","November 2016","December 2016","January 2017","February 2017","March 2017","April 2017","May 2017","June 2017","July 2017","August 2017","September 2017","October 2017","November 2017","December 2017","January 2018","February 2018","March 2018","April 2018","May 2018","June 2018","July 2018","August 2018","September 2018","October 2018","November 2018","December 2018","January 2019","February 2019","March 2019","April 2019","May 2019","June 2019","July 2019","August 2019","September 2019","October 2019","November 2019","December 2019","January 2020","February 2020","March 2020","April 2020","May 2020","June 2020","July 2020","August 2020","September 2020","October 2020","November 2020","December 2020","January 2021","February 2021","March 2021","April 2021","May 2021","June 2021","July 2021","August 2021","September 2021","October 2021","November 2021","December 2021","January 2022","February 2022","March 2022","April 2022","May 2022","June 2022","July 2022","August 2022","September 2022","October 2022","November 2022","December 2022","January 2023","February 2023","March 2023","April 2023","May 2023","June 2023","July 2023","August 2023","September 2023","October 2023","November 2023","December 2023","January 2024","February 2024","March 2024","April 2024","May 2024","June 2024","July 2024","August 2024","September 2024","October 2024","November 2024","December 2024","January 2025","February 2025","March 2025","April 2025","May 2025","June 2025","July 2025","August 2025"
,"Cubic metres",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total softwood and hardwood, production","5,222.4","4,883.0","4,943.3","4,913.2","4,673.5","5,106.1","5,350.4","4,824.4","4,563.7","4,934.6","5,003.7","5,626.6","5,613.7","5,263.9","5,537.2","5,192.6","5,275.4","5,531.9","5,686.4","5,561.3","5,216.7","5,433.1","5,521.6","5,837.8","5,775.5","5,727.3","5,659.0","5,112.6","5,588.3","5,731.0","5,707.7","5,819.7","4,718.9","5,526.3","5,329.2","6,062.6","5,629.4","5,954.5","5,628.0","5,153.7","5,427.6","5,511.0","5,803.8","5,787.9","4,803.7","5,733.5","5,237.2","5,835.6","5,859.8","5,962.3","5,535.2","5,219.2","5,498.8","5,359.6","5,753.8","5,309.9","4,324.4","5,051.4B","4,591.0B","5,438.9B","5,256.3B","5,360.8B","4,815.6B","4,423.6B","4,616.1B","4,565.1B","5,019.7B","4,583.5B","3,968.9B","4,390.0A","4,722.9A","4,951.9A","3,554.8A","4,385.3A","4,875.3A","4,516.3A","4,689.5A","5,163.1A","5,084.4A","4,876.9A","4,505.1A","4,844.8A","4,593.0A","5,599.8A","5,189.5A","4,907.7A","4,927.1A","4,165.1A","4,465.5A","4,622.9A","4,653.7A","4,842.6A","3,910.2A","4,328.1A","4,385.0A","5,064.7A","4,326.3A","4,639.2A","4,539.2A","3,738.1A","4,250.8A","4,360.0A","4,187.8A","4,333.2A","3,242.9A","3,838.6A","3,975.5A","4,806.1A","4,146.9A","4,100.7A","3,860.1A","3,581.4A","4,187.5A","4,199.9B","4,485.3B","4,486.1B","3,413.3B","3,996.4B","4,352.4B","4,397.3B","4,556.6B","4,475.1B","3,988.5B","3,681.5B","3,772.6B","3,951.2B","4,251.3B","3,996.8B","3,332.9B","3,871.6B","3,686.8B","4,325.9B","4,278.2B","4,143.8B","3,995.6B","3,832.4B","3,757.9B"
"Total hardwood, production","136.9","119.4","138.1","118.4","101.4","137.8","131.7","147.7","122.8","122.8","140.3","175.6","175.7","156.4","145.3","110.5","113.3","150.8","152.2","151.2","130.3","136.4","140.4","157.3","144.2","144.2","160.6","114.7","114.5","108.2","134.7","142.7","103.0","107.0","120.6","150.6","114.3","140.4","129.2","105.1","107.4","131.0","124.0","144.0","115.2","105.8","100.4","118.5","110.3","123.1","119.1","74.5","87.8","109.8","112.7","103.1","85.8","87.2B","97.8B","107.6B","100.6B","104.0B","82.4B","71.7B","73.1C","67.2C","90.0C","86.5B","64.0C","82.0B","126.0B","107.8A","71.6A","71.8A","68.5A","73.6B","85.3A","83.2A","84.2A","67.5A","75.7B","75.2B","81.1A","86.0A","82.6A","70.4A","76.5A","49.2A","69.4A","79.3A","68.4A","76.1A","65.9A","68.2A","69.6A","83.4A","72.3A","65.6A","77.8A","60.9A","62.4A","77.8A","70.4A","96.5A","69.0A","83.8A","97.7A","93.1B","80.3A","73.8A","69.4A","61.7A","60.9A","73.7C","70.3C","71.3C","63.0C","68.3C","77.2C","68.0C","69.2C","68.1C","69.0C","55.1B","70.7B","73.4C","78.7C","83.0C","77.3C","77.8C","73.9C","77.3C","63.7C","67.4C","68.8C","54.8B","64.0C"
"Total softwood, production 4","5,085.5","4,763.6","4,805.2","4,794.8","4,572.0","4,968.3","5,218.8","4,676.7","4,440.9","4,811.7","4,863.4","5,450.9","5,438.1","5,107.4","5,392.0","5,082.0","5,162.1","5,381.1","5,534.2","5,410.1","5,086.4","5,296.6","5,381.2","5,680.5","5,631.3","5,583.1","5,498.4","4,997.9","5,473.8","5,622.8","5,573.0","5,677.0","4,615.8","5,419.3","5,208.6","5,912.0","5,515.1","5,814.1","5,498.9","5,048.6","5,320.3","5,380.0","5,679.8","5,643.9","4,688.5","5,627.8","5,136.8","5,717.2","5,749.6","5,839.2","5,416.1","5,144.7","5,410.9","5,249.7","5,641.1","5,206.8","4,238.6","4,964.3B","4,493.3B","5,331.3B","5,155.7B","5,256.9B","4,733.3B","4,351.9B","4,543.1B","4,497.9B","4,929.7B","4,497.0B","3,904.9B","4,307.9A","4,596.8A","4,844.1A","3,483.2A","4,313.5A","4,806.8A","4,442.7A","4,604.2A","5,079.9A","5,000.3A","4,809.5A","4,429.4A","4,769.6A","4,511.9A","5,513.8A","5,106.9A","4,837.3A","4,850.5A","4,115.9A","4,396.1A","4,543.7A","4,585.3A","4,766.4A","3,844.3A","4,259.9A","4,315.4A","4,981.2A","4,254.0A","4,573.5A","4,461.4A","3,677.2A","4,188.4A","4,282.2A","4,117.4A","4,236.7A","3,173.9A","3,754.8A","3,877.7A","4,712.9A","4,066.6A","4,026.9A","3,790.7A","3,519.7A","4,126.5A","4,126.2B","4,415.0B","4,414.8B","3,350.3B","3,928.1B","4,275.2B","4,329.4B","4,487.4B","4,407.0B","3,919.5B","3,626.3B","3,701.9B","3,877.8B","4,172.6B","3,913.7B","3,255.6B","3,793.8B","3,612.9B","4,248.6B","4,214.5B","4,076.4B","3,926.8B","3,777.6B","3,694.0B"
"Spruce, pine and fir, production 5","4,591.0","4,180.2","4,190.9","4,179.2","4,077.4","4,475.3","4,663.4","4,200.4","4,060.5","4,382.9","4,413.5","4,873.0","4,942.9","4,588.6","4,773.2","4,538.2","4,681.9","4,924.7","5,035.2","4,952.1","4,665.3","4,835.0","4,867.5","5,022.2","5,128.2","4,963.9","4,881.5","4,449.7","4,897.5","5,050.9","4,980.2","5,090.6","4,176.0","4,984.2","4,744.9","5,274.2","4,964.2","5,267.6","4,924.3","4,481.7","4,806.6","4,875.4","5,147.4","5,029.4","4,253.1","5,092.2","4,644.9","5,115.4","5,078.4","5,110.7","4,743.9","4,453.8","4,669.1","4,532.1","4,990.9","4,524.1","3,783.1","4,354.3B","3,916.7B","4,666.4B","4,435.6B","4,486.9B","4,215.3A","3,706.8A","4,040.8B","3,991.5B","4,372.2B","4,004.5B","3,466.0B","3,845.4A","4,100.9A","4,383.7A","3,186.5A","3,885.4A","4,287.8A","3,800.9A","3,988.9A","4,467.9A","4,443.1A","4,278.8A","3,945.1A","4,235.9A","3,994.2A","4,810.0A","4,466.7A","4,269.8A","4,179.4A","3,564.2A","3,894.0A","4,025.7A","4,085.3A","4,149.2A","3,390.8A","3,739.3A","3,764.4A","4,308.0A","3,786.6A","3,960.0A","3,853.0A","3,152.5A","3,622.5A","3,754.2A","3,674.4A","3,722.2A","2,850.9A","3,398.9A","3,496.8A","4,217.5A","3,669.7A","3,583.2A","3,306.5A","3,073.6A","3,786.5A","3,762.6B","4,039.1B","3,992.8B","3,007.3B","3,608.5B","3,885.6B","3,932.5B","4,054.8B","3,933.0B","3,437.1B","3,149.9B","3,261.2B","3,476.8B","3,703.9B","3,471.9B","2,901.0B","3,384.3B","3,238.9B","3,807.7B","3,768.3B","3,624.1B","3,324.7B","3,322.1B","3,283.9B"
"Douglas fir and western larch, production","134.1","248.0","259.3","243.4","174.7","133.6","167.4","168.4","121.5","x","140.3","224.2","145.8","188.0","224.0","206.0","155.3","x","164.6","x","x","121.3","177.0","227.2","180.7","237.4","231.8","221.0","184.2","189.7","222.8","195.8","112.9","x","x","271.3","x","x","x","x","x","x","x","x","x","159.4","x","277.5","288.2","329.7","308.3","298.5","352.6","349.0","273.4","286.1","167.7","264.3A","214.1A","326.9A","346.0B","362.2A","221.1A","294.4A","198.9A","181.3A","280.9A","223.8A","181.3A","201.3B","231.9B","187.2A","75.9B","137.3A","215.3A","340.8A","280.7B","280.4A","210.7A","207.3A","199.0B","214.6A","218.6A","325.0A","305.3A","255.5A","331.8A","254.1A","185.0A","207.8A","186.9A","282.9A","207.1A","237.5B","279.0A","333.8A","209.6A","319.8A","319.3A","272.5A","294.8A","285.6A","207.0A","224.9A","165.0A","100.6A","165.2A","187.0A","147.1A","180.1A","225.9A","235.6A","150.8A","x","149.5A","171.4A","178.4A","132.3A","158.8A","170.4A","196.5A","224.9B","245.2B","223.2B","242.3B","194.2C","193.8C","179.0C","162.0A","167.3B","176.4B","205.8B","182.9C","188.6C","318.2B","230.3B","223.5C"
"Hemlock fir, production 6","160.3","149.9","161.2","169.4","146.3","173.4","191.8","141.8","x","x","x","140.3","173.3","130.9","x","x","140.1","140.6","142.5","140.0","138.3","x","119.1","189.4","106.8","145.7","134.3","x","x","148.3","x","135.3","142.2","121.2","x","x","131.8","159.3","132.3","155.1","155.1","113.0","134.8","156.9","x","x","x","x","156.4","171.3","155.4","173.1","163.4","x","159.7","185.9","128.6","132.6A","x","133.8A","175.8A","192.7A","124.7A","170.3A","132.7A","x","112.1A","x","x","110.4A","113.3A","121.7A","x","x","x","161.8A","x","x","x","x","x","x","160.0A","x","x","x","196.7A","152.0A","x","167.4A","x","x","x","x","x","171.5B","117.1A","149.2A","152.2A","143.3A","x","133.4A","136.2A","x","x","105.1C","86.8A","x","130.1A","98.4A","93.4A","85.0A","x","116.3A","x","x","78.0A","79.9A","102.0A","104.7A","x","98.2A","x","114.8A","69.4A","99.2B","x","x","x","x","x","x","139.5B","112.6B","135.7B","x","83.7B"
"Western red cedar, production","x","x","x","x","x","x","x","x","118.8","121.6","122.0","x","113.7","x","181.3","148.6","x","x","x","151.8","137.5","149.2","x","x","x","x","x","x","178.5","x","169.8","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","142.0","x","x","x","x","x","154.7","x","x","x","148.1A","153.2A","118.5A","137.8A","125.7A","107.7A","123.6A","113.2B","115.8A","98.5A","97.1A","90.3A","99.8A","102.9A","109.7A","82.6A","122.0A","118.0A","103.3A","112.6A","116.4B","115.7A","112.2A","x","99.3A","108.0A","x","122.6A","97.7A","x","114.2A","97.3B","108.0A","89.2A","106.5A","87.4B","88.6A","97.9A","111.9A","92.9A","x","90.3A","76.9A","x","75.8A","70.0A","85.8A","37.3A","109.5C","86.1B","110.7A","x","127.7C","131.8A","94.7A","71.2A","103.2B","100.7B","114.6A","62.4B","83.7B","92.4B","x","77.3B","104.5B","82.9B","99.0B","93.1B","70.3C","99.0B","91.3B","x","110.7B","79.5B","75.2B","83.2B","105.6C","100.7C","95.7B","66.9B"
"All other softwood, not elsewhere specified, production 7","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","74.6","89.7","89.4","70.8","85.4","69.9","64.2","74.5","67.7","51.3","64.9C","x","85.8C","60.7C","89.5C","64.4C","56.8C","57.5E","x","66.0E","x","x","51.1B","47.9A","41.8A","x","x","x","36.0B","x","x","x","x","x","x","31.1A","x","x","x","x","31.4A","x","34.8A","x","x","x","x","x","56.2A","47.8A","x","46.5B","31.9B","x","33.3B","29.7C","x","x","40.9B","42.7B","x","x","37.5B","33.0A","30.8B","x","x","x","x","24.2B","23.8B","36.3C","x","x","46.4E","x","39.4E","36.0C","37.3E","x","x","x","x","x","x","40.7C","45.5C","47.6C","x","36.0E"
